line_id,line_key,bus_i,bus_j,ckt,r_pu,x_pu,b_pu,ratea_mva,rating_defined,len_km,element_type,in_service
78,R.COROND-CN-TSE-1,4002,4019,1,0.0001,0.0001,0.2937,1732.0,True,2.5,line,True
79,C.ELIA-SGDE.ARG-1,4004,4008,1,0.00185,0.01727,1.7053,1732.0,True,159.3,line,True
80,C.ELIA-MERCEDES-1,4004,5030,1,0.003103,0.037779,4.51643,1732.0,True,386.0,line,True
81,ROMANG-S.TOME-1,4006,4010,1,0.00285,0.029189,2.88885,1083.0,True,270.9,line,True
82,ROMANG-RESISTEN-1,4006,5004,1,0.002679,0.027271,2.77769,1083.0,True,256.6,line,True
83,SGDE.ARG-GRAN.PNA-1,4008,4009,1,0.002543,0.025721,2.64124,1732.0,True,242.7,line,True
84,SGDE.ARG-SGAC1500-1,4008,4012,1,4e-05,0.00033,0.0315,1386.0,True,3.0,line,True
85,SGDE.ARG-SGAC2500-1,4008,4013,1,4e-05,0.00033,0.0315,1386.0,True,3.0,line,True
86,SGDE.ARG-SGAC3500-1,4008,4014,1,4e-05,0.00033,0.0315,1386.0,True,3.0,line,True
87,SGDE.ARG-SGAC4500-1,4008,4015,1,4e-05,0.00033,0.0315,1386.0,True,3.0,line,True
88,SGDE.ARG-RINCON-1,4008,5002,1,0.004736,0.05647,5.27379,1732.0,True,506.0,line,True
89,GRAN.PNA-S.TOME-1,4009,4010,1,0.000494,0.004999,0.51334,1264.0,True,47.2,line,True
90,TERMINAL_500-CN-TSE-1,4018,4019,1,0.0001,0.0013,0.1329,1732.0,True,12.4,line,True
91,YACYRETA-RINCON-1,5000,5002,1,4e-05,0.0004,0.038,1732.0,True,3.6,line,True
92,YACYRETA-RINCON-2,5000,5002,2,4e-05,0.0004,0.038,1732.0,True,3.6,line,True
93,YACYRETA-RINCON-3,5000,5002,3,4e-05,0.0004,0.038,1732.0,True,3.6,line,True
94,RINCON-RESISTEN-1,5002,5004,1,0.002234,0.026889,3.13304,1732.0,True,271.2,line,True
95,RINCON-P.PATRIA-1,5002,5005,1,0.002125,0.025333,2.36591,1732.0,True,227.0,line,True
96,RINCON-MERCEDES-1,5002,5030,1,0.002326,0.028041,3.29298,1732.0,True,283.7,line,True
97,RINCON-S.ISIDRO-1,5002,5253,1,0.000791,0.009502,0.888,866.0,True,85.2,line,True
98,RESISTEN-GRANFORMOSA-1,5004,5006,1,0.001324,0.01577,1.88567,866.0,True,161.2,line,True
99,RESISTEN-CHACO-1,5004,5016,1,0.00117,0.01394,1.66711,1732.0,True,142.51,line,True
100,P.PATRIA-R6L5RS-1,5005,5012,1,0.00042,0.00501,0.46797,1732.0,True,44.9,line,True
101,CHACO-MQUEM-CH-1,5016,8011,1,0.002169,0.02583,3.08854,1732.0,True,264.0,line,True
102,ALMAFUE.-A.CABRAL-1,6000,6002,1,0.001036,0.010395,0.96478,1519.0,True,90.2,line,True
103,ALMAFUE.-EMBALSE-1,6000,6004,1,0.000127,0.001315,0.12994,1519.0,True,12.1,line,True
104,ALMAFUE.-MALVINAS-1,6000,6006,1,0.001094,0.011315,1.11072,1083.0,True,104.0,line,True
105,EMBALSE-R.GRANDE-1,6004,6008,1,0.000314,0.003244,0.32063,1287.0,True,29.9,line,True
106,MALVINAS-REC.MALV-1,6006,8004,1,0.002719,0.028332,2.7233,1083.0,True,258.5,line,True
107,R.GRANDE-LUJAN.SL-1,6008,6010,1,0.0021,0.01698,1.54425,866.0,True,150.0,line,True
108,LUJAN.SL-GRAN MZA-1,6010,7000,1,0.002704,0.028483,2.71996,866.0,True,258.0,line,True
109,GRAN MZA-RDIAM.GM-1,7000,7005,1,0.001546,0.018634,2.1732,1732.0,True,188.1,line,True
110,GRAN MZA-NVA.SJUAN-1,7000,7010,1,0.00143,0.017399,2.08061,866.0,True,177.8,line,True
111,RDIAMANT-RDIAM.AC-1,7002,7003,1,0.0,-0.01724,0.0,1250.0,True,0.05,series_compensator,True
112,RDIAMANT-RDIAM.GM-1,7002,7005,1,0.0,-0.01301,0.0,1732.0,True,0.05,series_compensator,True
113,BRACHO-COBOS-1,8000,8007,1,0.002332,0.028256,3.27115,1732.0,True,283.8,line,True
114,BRACHO-LAVALLE-1,8000,8012,1,0.00139,0.01455,1.366,1351.0,True,130.79,line,True
115,RECREO-REC.MALV-1,8002,8004,1,0.0,-0.0276,0.0,942.2,True,0.0,series_compensator,True
116,RECREO-RIOJASUR-1,8002,8006,1,0.001207,0.014404,1.72074,866.0,True,147.2,line,True
117,RECREO-LAVALLE-1,8002,8012,1,0.00131,0.0137,1.28573,865.0,True,123.13,line,True
118,COBOS-JUANCITO-1,8007,8008,1,0.000384,0.004896,0.51146,866.0,True,46.6,line,True
119,COBOS-MQUEM-CB-1,8007,8009,1,0.002446,0.029505,3.44456,1732.0,True,297.7,line,True
120,MQUEM-CB-MQUEMADO-1,8009,8010,1,0.0,-0.02027,0.0,1732.0,True,0.0,series_compensator,True
121,MQUEMADO-MQUEM-CH-1,8010,8011,1,0.0,-0.01775,0.0,1732.0,True,0.0,series_compensator,True
122,LAVALLE-SANTIAGO-1,8012,8013,1,0.000696,0.008464,1.02877,866.0,True,86.4,line,True
