bus_name_origen,nombre_geosadi,nemo,carrier,p_nom,costo_marginal_match,fuente_costo,CVP_manual,
LHEREO01,PE LOS HERCULES,LHEREO,wind,98,NO,,P.E. Vientos Los H�rcules,
EZEITG01,CT EZEIZA,EZEI,ocgt,50.592,SI,CVP_TERMICA,,
LDCUTG26,LUJAN DE CUYO,LDCU,ocgt,48.384,SI,CVP_TERMICA,,
LDCUTG27,LUJAN DE CUYO,LDCU,ocgt,48.402,SI,CVP_TERMICA,,
CHN4EO01,P.E. CHUBUT NORTE IV,CHN4EO,wind,44.7368,SI,CVP_RENOVAR,,
PHUITG01,PLAZA HUINCUL,PHUI,ocgt,31.673,SI,CVP_TERMICA,,
ARROHI01,ARROYITO,ARROHI,hydro,42.6,PENDIENTE,,,
ARROHI03,ARROYITO,ARROHI,hydro,42.6,PENDIENTE,,,
ARROHI02,ARROYITO,ARROHI,hydro,42.6,PENDIENTE,,,
LLANFV01,Parque de los Llanos (MATER),LLANFV,solar,20,NO,mater,65,
QULLHI01,QUEBRADA ULLUM,QULLHI,hydro,48,PENDIENTE,,,
LOM1EO01,L. BLANCA 1 ENARSA,LOM1EO,wind,52,NO,,P.E. Loma Blanca I,
YPFATG02,YPF LOS PERALES,YPFA,ocgt,8.8588,SI,CVP_TERMICA_PROMEDIO,P.E. Loma Blanca II,
YPFATG01,YPF LOS PERALES,YPFA,ocgt,17.7176,SI,CVP_TERMICA,P.E. Loma Blanca III,
ENSETG01,CO. ENSENADA,ENSE,ocgt,62.6066,NO,,EBARTG02,
EZEITV05,CT EZEIZA,EZEI,ocgt,42.09,NO,,EZEICC03,
CAFAFV,P.S. Cafayate,CAFAFV,solar,83,SI,CVP_RENOVAR,EZEICC03,
CAFAFV,P.S. Cafayate,CAFAFV,solar,83,SI,CVP_RENOVAR,,
EZEITV06,CT EZEIZA,EZEI,ocgt,42.53,NO,,EZEICC03,
BANDEO,P.E. LA BANDERITA,BANDEO,wind,40,SI,CVP_RENOVAR,EZEICC03,
CHN4EO01,P.E. CHUBUT NORTE IV,CHN4EO,wind,40.2632,SI,CVP_RENOVAR,,
PATATG01,C.T. PATAGONIA,PATA,ccgt,38.01,SI,CVP_TERMICA,,
PATATG02,C.T. PATAGONIA,PATA,ccgt,37.6,SI,CVP_TERMICA,,
