gen_key,bus_name_origen,geosadi_name,nemo,bus_conexion500kv,bus_conexion500kv_name,carrier,p_nom,lat,lon,marginal_cost
3668-2,CEPUTG12,NUEVO PUERTO,NPUE,3122.0,RODRGUEZ_220kV_2,ccgt,242.1,-34.57170662,-58.38211451,36.0
3667-1,CEPUTG11,NUEVO PUERTO,NPUE,3122.0,RODRGUEZ_220kV_2,ccgt,252.1108,-34.57170662,-58.38211451,36.0
3646-2,DSUDTG09,DOCK SUD,DSUD,3110.0,EZEIZA_220kV_1,ccgt,274.92,-34.65318462,-58.34174439,35.2
3645-1,DSUDTG10,DOCK SUD,DSUD,3110.0,EZEIZA_220kV_1,ccgt,275.058,-34.65318462,-58.34174439,35.2
3679-9,PNUETV09,PUERTO NUEVO,PNUE,3122.0,RODRGUEZ_220kV_2,steam,237.2,-34.57570224,-58.37604732,52.1
2625-1,BROWTG01,GUILLERMO BROWN,BROW,2625.0,GUIBROWN_20kV_1,ocgt,287.624,-38.68547162,-62.41424292,29.5
3666-6,NPUETV06,NUEVO PUERTO,NPUE,3122.0,RODRGUEZ_220kV_2,steam,233.2,-34.57170662,-58.38211451,54.2
3643-3,GEBATV01,C.T. GENELBA,GEBA,3643.0,EZE GENETV03_15.8kV_1,ccgt,230.88,-34.90221112,-58.73347259,34.3
8623-2,TANDTG02,TERMOANDES,TAND,8120.0,COBOS_345kV,ocgt,203.914,-24.74379602,-65.0519014,36.3
8624-1,TANDTV01,TERMOANDES,TAND,8120.0,COBOS_345kV,ocgt,205.0,-24.74379602,-65.0519014,36.3
8622-1,TANDTG01,TERMOANDES,TAND,8120.0,COBOS_345kV,ocgt,203.914,-24.74379602,-65.0519014,36.3
1691-1,PBANHI01,P. BANDERITA,PBANHI,1691.0,P.BAND._16kV_1,hydro,239.7,-38.55960664,-68.47444599,
1692-2,PBANHI02,P. BANDERITA,PBANHI,1692.0,P.BAND._16kV_2,hydro,239.7,-38.55960664,-68.47444599,
3641-1,GEBATG01,C.T. GENELBA,GEBA,3641.0,EZE.GENETG01_15.8kV,ccgt,222.07,-34.90221112,-58.73347259,34.3
3642-2,GEBATG02,C.T. GENELBA,GEBA,3642.0,EZE GENETG02_15.8kV,ccgt,222.07,-34.90221112,-58.73347259,32.9
3608-8,BSASTG01,BUENOS AIRES,BSAS,3100.0,ABASTO_220kV,ccgt,186.0,-34.62636803,-58.33730209,39.9
8900-1,BRCHTV01,C.T BRACHO,BRCH,8900.0,BRACHO_18kV,steam,199.0,-26.99696942,-65.17048057,40.3
1662-2,CHOCHI02,CHOCON,CHOCHI,1662.0,C.H.CHOC_16kV_2,hydro,215.0,-39.2658473,-68.7560383,
1661-1,CHOCHI01,CHOCON,CHOCHI,1661.0,C.H.CHOC_16kV_1,hydro,215.0,-39.2658473,-68.7560383,
1663-3,CHOCHI03,CHOCON,CHOCHI,1663.0,C.H.CHOC_16kV_3,hydro,215.0,-39.2658473,-68.7560383,
1664-4,CHOCHI04,CHOCON,CHOCHI,1664.0,C.H.CHOC_16kV_4,hydro,215.0,-39.2658473,-68.7560383,
1665-5,CHOCHI05,CHOCON,CHOCHI,1665.0,C.H.CHOC_16kV_5,hydro,215.0,-39.2658473,-68.7560383,
1666-6,CHOCHI06,CHOCON,CHOCHI,1666.0,C.H.CHOC_16kV_6,hydro,215.0,-39.2658473,-68.7560383,
7645-G,LDCUTG25,LUJAN DE CUYO,LDCU,7216.0,GRAN MZA_132kV,ccgt,194.72,-33.05568314,-68.98082788,32.0
