load_key,bus_id_origen,bus_name_origen,pl_mw,stat,match_type,bus_destino,bus_destino_name,n_saltos,camino
2271-1,2271,LINCO33_01,9.046,1,bfs,2104,HENDERS2_220kV,4,LINCO33_01 -> LINCOLN -> BRAGADO1 -> BRAGADO -> HENDERSO
2272-1,2272,TG MAJO2,32.25,1,bfs,2410,VIVORATA_132kV,8,TG MAJO2 -> M.TUYU -> TONINAS1 -> S.CLEMEN -> DOLORES -> LASARMAS -> MADARIAG -> V.GESSEL -> VIVORATA
2274-1,2274,M.PLATA1,54.331,1,bfs,2410,VIVORATA_132kV,3,M.PLATA1 -> BALCARCE -> PIQ 156 -> VIVORATA
2275-1,2275,LINCO13_01,11.072,1,bfs,2104,HENDERS2_220kV,4,LINCO13_01 -> LINCOLN -> BRAGADO1 -> BRAGADO -> HENDERSO
2277-1,2277,ETSUR.MDP,35.882,1,bfs,2410,VIVORATA_132kV,3,ETSUR.MDP -> ETSUR.TRANS1 -> M.PLATA2 -> VIVORATA
2278-1,2278,MERCEDE1,16.435,0,bfs,2294,CAMPANA_132kV_2,4,MERCEDE1 -> LUJANBA1 -> SA ARECO -> DCAM-VLI -> NCAMP2
2280-1,2280,MERCEDE2,48.303,1,sin_conexion,,,-1,
2284-1,2284,MONTE,22.226,1,bfs,2410,VIVORATA_132kV,7,MONTE -> BRANDSEN -> CHASCOM1 -> DOLORES -> LASARMAS -> MADARIAG -> V.GESSEL -> VIVORATA
2294-1,2294,NCAMP2,9.9,1,directo,2294,CAMPANA_132kV_2,0,
2299-1,2299,CHILLAR,3.5,1,bfs,2298,OLAVARRI_132kV_2,1,CHILLAR -> OLAVARR2
2300-1,2300,OLAV.VIE,61.304,1,bfs,2296,OLAVARRI_132kV_1,1,OLAV.VIE -> OLAVARR1
2302-1,2302,P. LURO,10.169,1,bfs,2206,B.BLANCA_132kV_1,2,P. LURO -> M.BURATO -> B.BCA 1
2303-1,2303,MDP.IND,11.993,1,bfs,2410,VIVORATA_132kV,4,MDP.IND -> M.PLATA1 -> BALCARCE -> PIQ 156 -> VIVORATA
2304-1,2304,P.PRENSA,42.5,1,bfs,3120,RODRGUEZ_220kV_1,6,P.PRENSA -> S.PEDRO1 -> PALMAS.1 -> ATUCHA 1 -> ATUCHA 1 -> V. LIA -> RODRIGU1
2305-1,2305,COLON,12.416,0,bfs,2104,HENDERS2_220kV,8,COLON -> PERGAMI1 -> ROJAS -> JUNIN 2 -> I.M.S.A. -> LINCOLN -> BRAGADO1 -> BRAGADO -> HENDERSO
2308-1,2308,PQBB. 1,50.0,1,bfs,2208,B.BLANCA_132kV_2,1,PQBB. 1 -> B.BCA2
2309-1,2309,PROFERTI,30.0,1,bfs,2208,B.BLANCA_132kV_2,2,PROFERTI -> PQBB. 1 -> B.BCA2
2310-1,2310,PQBB. 2,59.1,1,sin_conexion,,,-1,
2312-1,2312,PBUENA,4.77,1,bfs,2206,B.BLANCA_132kV_1,2,PBUENA -> P. ALTA -> B.BCA 1
2314-1,2314,PIGUE 1,26.295,1,bfs,2206,B.BLANCA_132kV_1,3,PIGUE 1 -> TORNQUIS -> TRESPICOS -> B.BCA 1
2315-1,2315,CLOR-SOD,78.0,1,bfs,2208,B.BLANCA_132kV_2,2,CLOR-SOD -> PQBB. 1 -> B.BCA2
2317-1,2317,COL.SEC,1.279,1,bfs,2104,HENDERS2_220kV,9,COL.SEC -> COLON -> PERGAMI1 -> ROJAS -> JUNIN 2 -> I.M.S.A. -> LINCOLN -> BRAGADO1 -> BRAGADO -> HENDERSO
2318-1,2318,PINAMAR,19.321,1,bfs,2410,VIVORATA_132kV,3,PINAMAR -> VADELMAR -> V.GESSEL -> VIVORATA
2319-1,2319,COL.TER,14.07,1,bfs,2104,HENDERS2_220kV,9,COL.TER -> COLON -> PERGAMI1 -> ROJAS -> JUNIN 2 -> I.M.S.A. -> LINCOLN -> BRAGADO1 -> BRAGADO -> HENDERSO
2320-1,2320,PRINGLES,9.443,1,bfs,2206,B.BLANCA_132kV_1,2,PRINGLES -> GENOVEVA -> B.BCA 1
2321-1,2321,INDIO RI,3.5,1,bfs,2206,B.BLANCA_132kV_1,3,INDIO RI -> PRINGLES -> GENOVEVA -> B.BCA 1
2323-1,2323,P. ALTA2,12.784,1,sin_conexion,,,-1,
2324-1,2324,QUEQUEN,5.956,1,bfs,2410,VIVORATA_132kV,2,QUEQUEN -> M.PLATA2 -> VIVORATA
2325-1,2325,RAMA.IND,20.0,1,bfs,2327,RAMALLO_132kV,1,RAMA.IND -> RAMALLO2
2328-1,2328,ROJAS,16.709,1,bfs,2104,HENDERS2_220kV,6,ROJAS -> JUNIN 2 -> I.M.S.A. -> LINCOLN -> BRAGADO1 -> BRAGADO -> HENDERSO
2329-1,2329,PUAN,7.845,1,sin_conexion,,,-1,
2330-1,2330,SALADILL,34.704,1,bfs,2293,25MAYO_1_132kV,1,SALADILL -> 25MAY_01
2332-1,2332,S.CLEMEN,10.895,1,bfs,2410,VIVORATA_132kV,5,S.CLEMEN -> DOLORES -> LASARMAS -> MADARIAG -> V.GESSEL -> VIVORATA
2333-1,2333,SN NORTE,13.681,1,sin_conexion,,,-1,
2339-1,2339,S.PEDRO2,21.791,1,bfs,2327,RAMALLO_132kV,2,S.PEDRO2 -> RAMA.IND -> RAMALLO2
2340-1,2340,M.TUYU,12.784,1,bfs,2410,VIVORATA_132kV,7,M.TUYU -> TONINAS1 -> S.CLEMEN -> DOLORES -> LASARMAS -> MADARIAG -> V.GESSEL -> VIVORATA
2342-1,2342,DALMINE0,120.0,1,bfs,2292,CAMPANA_132kV_1,1,DALMINE0 -> NCAMP1
2343-1,2343,DALMINE1,73.0,1,bfs,2292,CAMPANA_132kV_1,1,DALMINE1 -> NCAMP1
2345-1,2345,BOLIVAR,16.828,1,bfs,2298,OLAVARRI_132kV_2,2,BOLIVAR -> LA CHINA -> OLAVARR2
2346-1,2346,TANDIL1,43.436,1,bfs,2298,OLAVARRI_132kV_2,3,TANDIL1 -> BARKER -> BARKER2 -> OLAVARR2
2348-1,2348,TLAUQUE1,27.739,1,bfs,2245,HENDERS2_132kV,1,TLAUQUE1 -> HENDERS2
2350-1,2350,3ARROYOS,35.882,1,bfs,2298,OLAVARRI_132kV_2,3,3ARROYOS -> G.CHAVE1 -> CHILLAR -> OLAVARR2
2352-1,2352,SNIC-URB,40.738,1,bfs,3120,RODRGUEZ_220kV_1,4,SNIC-URB -> RAMALLO1 -> RAMALLOB -> V. LIA -> RODRIGU1
2354-1,2354,URBANABB,44.162,1,bfs,2206,B.BLANCA_132kV_1,5,URBANABB -> PQBB. 3 -> SUR -> CHANARES -> NORTE II -> B.BCA 1
