bus_id,bus_name,bus_name_psse,bus_type,baskv_kv,ide,ide_desc,vm_pu,va_deg,lat,lon,parent_bus_id,name_geosadi
3007,EZE GENETV03,,500kV,500.0,1,PQ,1.00316,-9.6221,-34.9027379772758,-58.7327362069104,,CENTRAL GENELBA
4000,R.OESTE,,500kV,500.0,1,PQ,1.02014,-5.6994,-32.9684416648509,-60.7799848969854,,ROSARIO OESTE
4002,R.COROND,,500kV,500.0,1,PQ,1.02835,-4.8473,-32.5781452578973,-60.7936421166903,,RIO CORONDA
4004,C.ELIA,,500kV,500.0,1,PQ,1.01986,-9.8742,-32.6012869311469,-58.2939883534797,,C ELIA
4006,ROMANG,,500kV,500.0,1,PQ,1.02617,-8.3534,-29.4598194433126,-59.7631398074561,,ROMANG
4008,SGDE.ARG,,500kV,500.0,1,PQ,1.02614,-5.6117,-31.2796643089607,-57.9635208304219,,SALTO GRANDE ARG
4009,GRAN.PNA,,500kV,500.0,1,PQ,1.01935,-8.7807,-31.7142390149186,-60.4255694431752,,GRAN PARANA
4010,S.TOME,,500kV,500.0,1,PQ,1.01762,-8.4676,-31.6585650780159,-60.8624150416208,,SANTO TOME
4012,SGAC1500,,500kV,500.0,1,PQ,1.02618,-5.5665,-31.2888,-57.9324,,
4013,SGAC2500,,500kV,500.0,1,PQ,1.02618,-5.5665,-31.2888,-57.9323,,
4014,SGAC3500,,500kV,500.0,1,PQ,1.02618,-5.5665,-31.2888,-57.9322,,
4015,SGAC4500,,500kV,500.0,1,PQ,1.02614,-5.6118,-31.2888,-57.9321,,
4018,TERMINAL_500,,500kV,500.0,1,PQ,1.02924,-4.647,-32.665144,-60.750729,,
4019,CN-TSE,,500kV,500.0,1,PQ,1.02866,-4.8353,-32.580452,-60.81942,,
5000,YACYRETA,,500kV,500.0,1,PQ,1.02,1.2795,-27.4827573404788,-56.7392780143688,,YACYRETA
5002,RINCON,,500kV,500.0,1,PQ,1.02004,1.2186,-27.4887181126508,-56.6976829874798,,RINCON STA. MARIA
5004,RESISTEN,,500kV,500.0,1,PQ,1.01699,-6.3142,-27.2997269048727,-59.108568069161,,RESISTENCIA
5005,P.PATRIA,,500kV,500.0,1,PQ,1.02013,-5.807,-27.3836122730879,-58.6879250290168,,PASO LA PATRIA
5006,GRANFORMOSA,,500kV,500.0,1,PQ,0.99531,-9.349,-26.0963094079528,-58.2484575731584,,GRAN FORMOSA
5012,R6L5RS,,500kV,500.0,1,PQ,1.01699,-6.3142,-27.301812,-59.104564,,
5016,CHACO,,500kV,500.0,1,PQ,1.00789,-3.924,-26.865431449202,-60.4393422923129,,CHACO
5030,MERCEDES,,500kV,500.0,1,PQ,1.02216,-5.2719,-29.3558808805981,-57.7017029442354,,MERCEDES
5253,S.ISIDRO,,500kV,500.0,1,PQ,1.00105,-0.5921,-27.4428686377774,-55.9181895192309,,SAN ISIDRO
6000,ALMAFUE.,,500kV,500.0,1,PQ,1.00936,6.2131,-32.2066325633421,-64.3172936337941,,ALMAFUERTE
6002,A.CABRAL,,500kV,500.0,1,PQ,1.01459,2.4641,-32.4968032794478,-63.4232485019168,,ARROYO CABRAL
6004,EMBALSE,,500kV,500.0,1,PQ,1.01337,7.0779,-32.2337311061056,-64.4426019849936,,EMBALSE
6006,MALVINAS,,500kV,500.0,1,PQ,0.98086,4.382,-31.339918523621,-63.9129519775517,,MALVINAS
6008,R.GRANDE,,500kV,500.0,1,PQ,1.0147,8.1455,-32.2215703537888,-64.6364544160384,,RIO GRANDE
6010,LUJAN.SL,,500kV,500.0,1,PQ,1.02977,10.7878,-32.3689432710151,-66.0651644799568,,LUJAN
7000,GRAN MZA,,500kV,500.0,1,PQ,1.01706,16.219,-33.0978701376966,-68.5819527023553,,GRAN MENDOZA
7002,RDIAMANT,,500kV,500.0,1,PQ,1.0163,18.9072,-34.5499519061555,-68.5937205912323,,RIO DIAMANTE
7003,RDIAM.AC,,500kV,500.0,1,PQ,1.0163,18.9072,-34.932816,-68.268418,,
7005,RDIAM.GM,,500kV,500.0,1,PQ,1.0163,18.9072,-34.545696,-68.59593,,
7010,NVA.SJUAN,,500kV,500.0,1,PQ,0.99369,16.5562,-31.5652484898259,-68.6190063264808,,NUEVA SAN JUAN
8000,BRACHO,,500kV,500.0,1,PQ,1.02006,10.0162,-26.9949090061457,-65.1655235459748,,EL BRACHO
8002,RECREO,,500kV,500.0,1,PQ,1.00417,4.8114,-29.2603963902811,-65.0574469228372,,RECREO
8004,REC.MALV,,500kV,500.0,1,PQ,0.96594,11.1092,-29.261445,-65.04893,,
8006,RIOJASUR,,500kV,500.0,1,PQ,0.98668,6.2165,-29.397477189021,-66.5129361173079,,LA RIOJA SUR
8007,COBOS,,500kV,500.0,1,PQ,1.01618,10.223,-24.7457443027573,-65.0471806841412,,COBOS
8008,JUANCITO,,500kV,500.0,1,PQ,1.00917,10.0217,-24.3767165060619,-64.9975373023046,,SAN JUANCITO
8009,MQUEM-CB,,500kV,500.0,1,PQ,1.01619,2.4257,-25.845714,-62.817702,,
8010,MQUEMADO,,500kV,500.0,1,PQ,1.01619,2.4257,-25.8466539135473,-62.8165780633269,,MONTE QUEMADO
8011,MQUEM-CH,,500kV,500.0,1,PQ,1.01619,2.4257,-25.845714,-62.817702,,
8012,LAVALLE,,500kV,500.0,1,PQ,1.00812,6.0021,-28.1577304395082,-65.1044619469612,,LAVALLE
8013,SANTIAGO,,500kV,500.0,1,PQ,0.99452,4.4055,-27.8383906535058,-64.346174574397,,SANTIAGO
117,ESPERANZ_220kV,ESPERANZ,secondary,220.0,1,PQ,1.00728,25.8753,-51.0427218374428,-70.7142704645103,19.0,
221,NPMADRYN_132kV,PMADRYN2,secondary,132.0,1,PQ,1.01499,27.3621,-42.7044556209301,-65.1051158026521,10.0,
224,NPMADRYN_330kV,NPMAD330,secondary,330.0,1,PQ,1.01516,29.9795,-42.7044556209301,-65.1051158026521,10.0,
315,RSCRUZ_132kV,RSCRUZ,secondary,132.0,1,PQ,1.02072,26.9953,-49.9861809102208,-68.973397016559,15.0,
461,SCN_500_132kV,SCN_132,secondary,132.0,1,PQ,1.02621,31.2928,-46.7742815027891,-67.9792001395747,12.0,
479,SCN_500_33kV_1,SCN_TER1,secondary,33.0,1,PQ,1.02854,31.0114,-46.7742815027891,-67.9792001395747,12.0,
484,SCN_500_33kV_2,SCN_TER2,secondary,33.0,1,PQ,1.02816,31.0573,-46.7742815027891,-67.9792001395747,12.0,
501,NPMADRYN_33kV_1,PM33_01,secondary,33.0,1,PQ,1.01145,30.531,-42.7044556209301,-65.1051158026521,10.0,
504,RSCRUZ_33kV,RSCRUZ,secondary,33.0,1,PQ,1.02058,26.9712,-49.9861809102208,-68.973397016559,15.0,
542,NPMADRYN_33kV_2,PM33_02,secondary,33.0,1,PQ,1.0145,27.5074,-42.7044556209301,-65.1051158026521,10.0,
545,ESPERANZ_33kV,ESP.TER1,secondary,33.0,1,PQ,0.99624,25.7885,-51.0427218374428,-70.7142704645103,19.0,
554,SCN_500_33kV_3,SCN_TER3,secondary,33.0,1,PQ,1.02471,31.4755,-46.7742815027891,-67.9792001395747,12.0,
583,NPMADRYN_33kV_3,TER,secondary,33.0,1,PQ,1.01429,27.5713,-42.7044556209301,-65.1051158026521,10.0,
1200,A.CAJON_132kV_1,ACAJON 1,secondary,132.0,1,PQ,1.0435,28.0343,-38.9389597169173,-68.3559840709081,1025.0,
1203,A.CAJON_132kV_2,ACAJON 3,secondary,132.0,1,PQ,1.04315,31.7292,-38.9389597169173,-68.3559840709081,1025.0,
1204,ALICURA_132kV,ALICURA,secondary,132.0,1,PQ,1.04556,22.2392,-40.5796589124288,-70.7486596069552,1016.0,
1224,CHOCONOE_132kV,CHOCONOE,secondary,132.0,1,PQ,1.0395,24.1883,-39.2373797693608,-68.7793992577695,1004.0,
