bus_id,bus_name,baskv_kv,ide,ide_desc,area,zone,owner,vm_pu,va_deg,is_international,country
7000,GRAN MZA,500.0,1,PQ,14,35,10,1.01706,16.219,False,
7002,RDIAMANT,500.0,1,PQ,14,35,10,1.0163,18.9072,False,
7003,RDIAM.AC,500.0,1,PQ,14,35,10,1.0163,18.9072,False,
7005,RDIAM.GM,500.0,1,PQ,14,35,10,1.0163,18.9072,False,
7010,NVA.SJUAN,500.0,1,PQ,14,63,10,0.99369,16.5562,False,
8000,BRACHO,500.0,1,PQ,15,68,10,1.02006,10.0162,False,
8002,RECREO,500.0,1,PQ,15,64,10,1.00417,4.8114,False,
8004,REC.MALV,500.0,1,PQ,15,64,10,0.96594,11.1092,False,
8006,RIOJASUR,500.0,1,PQ,15,36,10,0.98668,6.2165,False,
8007,COBOS,500.0,1,PQ,15,66,10,1.01618,10.223,False,
8008,JUANCITO,500.0,1,PQ,15,67,10,1.00917,10.0217,False,
8009,MQUEM-CB,500.0,1,PQ,15,65,10,1.01619,2.4257,False,
8010,MQUEMADO,500.0,1,PQ,15,65,10,1.01619,2.4257,False,
8011,MQUEM-CH,500.0,1,PQ,15,65,10,1.01619,2.4257,False,
8012,LAVALLE,500.0,1,PQ,15,65,10,1.00812,6.0021,False,
8013,SANTIAGO,500.0,1,PQ,15,65,10,0.99452,4.4055,False,
