gen_key,bus_name_origen,geosadi_name,bus_conexion500kv_name,nemo4,carrier,cammesa_units,n_cammesa_units,corrected_unit_name,reviewed,exclude,comment
4618-6,PERZDI58,PEREZ SECCO,HENDERS2_132kV,PERZ,diesel,PERZDI01|PERZDI02|PERZDI03|PERZDI04|PERZDI05|PERZDI06|PERZDI07|PERZDI08,8,PERZDI06,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
4618-7,PERZDI58,PEREZ SECCO,HENDERS2_132kV,PERZ,diesel,PERZDI01|PERZDI02|PERZDI03|PERZDI04|PERZDI05|PERZDI06|PERZDI07|PERZDI08,8,PERZDI07,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
4618-8,PERZDI58,PEREZ SECCO,HENDERS2_132kV,PERZ,diesel,PERZDI01|PERZDI02|PERZDI03|PERZDI04|PERZDI05|PERZDI06|PERZDI07|PERZDI08,8,PERZDI08,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
3681-1,PILBDI13,PILAR BSAS,RODRGUEZ_220kV_2,PILB,diesel,PILBDI01|PILBDI02|PILBDI03|PILBDI04|PILBDI05|PILBDI06,6,PILBDI01,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
3681-2,PILBDI13,PILAR BSAS,RODRGUEZ_220kV_2,PILB,diesel,PILBDI01|PILBDI02|PILBDI03|PILBDI04|PILBDI05|PILBDI06,6,PILBDI02,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
3681-3,PILBDI13,PILAR BSAS,RODRGUEZ_220kV_2,PILB,diesel,PILBDI01|PILBDI02|PILBDI03|PILBDI04|PILBDI05|PILBDI06,6,PILBDI03,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
3687-4,PILBDI46,PILAR BSAS,RODRGUEZ_220kV_2,PILB,diesel,PILBDI01|PILBDI02|PILBDI03|PILBDI04|PILBDI05|PILBDI06,6,PILBDI04,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
3687-5,PILBDI46,PILAR BSAS,RODRGUEZ_220kV_2,PILB,diesel,PILBDI01|PILBDI02|PILBDI03|PILBDI04|PILBDI05|PILBDI06,6,PILBDI05,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
3687-6,PILBDI46,PILAR BSAS,RODRGUEZ_220kV_2,PILB,diesel,PILBDI01|PILBDI02|PILBDI03|PILBDI04|PILBDI05|PILBDI06,6,PILBDI06,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
674-4,RCHITG04,RIO CHICO,ESPERANZ_220kV,RCHI,ocgt,RCHITG01|RCHITG02|RCHITG03,3,,,yes,"Power plant with no equivalent in CAMMESA, excluded from model."
7684-1,SANDFV01,Planta fotovoltaica Solar de los Andes (MATER),GRAN MZA_132kV,SAND,solar,SANDFV|SANDHI,2,SANDFV,,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
7691-1,SARCTG12,SARMIENTO SJ,NVA.SJUAN_132kV,SARC,ocgt,SARCTG21|SARCTG22|SARCTG23,3,SARCTG21,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
7691-2,SARCTG12,SARMIENTO SJ,NVA.SJUAN_132kV,SARC,ocgt,SARCTG21|SARCTG22|SARCTG23,3,SARCTG22,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
6630-1,SFRATG12,SAN FRANCISCO,MALVINAS_132kV,SFRA,ocgt,SFRATG01|SFRATG02,2,SFRATG01,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
6630-2,SFRATG12,SAN FRANCISCO,MALVINAS_132kV,SFRA,ocgt,SFRATG01|SFRATG02,2,SFRATG02,yes,,"PSS/E name is abbreviated, manually matched to CAMMESA unit."
8675-1,TINOFV01,P.S. Tinogasta,BRACHO_132kV_3,TINO,solar,TINODI01|TINOFV,2,TINOFV,,,
2680-1,VGESTG12,VILLA GESELL,VIVORATA_132kV,VGES,ocgt,VGESTG11|VGESTG14|VGESTG16|VGESTG18,4,VGESTG18,yes,,CAMMESA reports 4 turbines while PSS/E only has 2. Using data from the two highest-generation units.
2680-2,VGESTG12,VILLA GESELL,VIVORATA_132kV,VGES,ocgt,VGESTG11|VGESTG14|VGESTG16|VGESTG18,4,VGESTG11,yes,,CAMMESA reports 4 turbines while PSS/E only has 2. Using data from the two highest-generation units.
6691-1,VMARTG12,VILLA MARIA,A.CABRAL_132kV,VMAR,ocgt,VMARTG01|VMARTG02|VMARTG03,3,VMARTG01,yes,,
6691-2,VMARTG12,VILLA MARIA,A.CABRAL_132kV,VMAR,ocgt,VMARTG01|VMARTG02|VMARTG03,3,VMARTG02,yes,,
