bus_id,bus_name,name_geosadi,match_status,baskv_kv,lat,lon,ide,ide_desc,area,zone,owner,vm_pu,va_deg,coord_offset_applied
3004,RODRGUEZ,GRAL RODRIGUEZ,ok,500.0,-34.5299884514059,-58.9318933708823,1,PQ,4,10,10,0.98652,-11.8551,False
3005,EZE.GENETG01,CENTRAL GENELBA,ok,500.0,-34.9027379772758,-58.7327362069104,1,PQ,4,10,10,1.00111,-9.9264,False
3006,EZE GENETG02,CENTRAL GENELBA,ok,500.0,-34.9027379772758,-58.7326362069104,1,PQ,4,10,10,1.00111,-9.9264,True
3007,EZE GENETV03,CENTRAL GENELBA,ok,500.0,-34.9027379772758,-58.7325362069104,1,PQ,4,10,10,1.00316,-9.6221,True
4000,R.OESTE,ROSARIO OESTE,ok,500.0,-32.9684416648509,-60.7799848969854,1,PQ,8,29,10,1.02014,-5.6994,False
4002,R.COROND,RIO CORONDA,ok,500.0,-32.5781452578973,-60.7936421166903,1,PQ,8,29,10,1.02835,-4.8473,False
4004,C.ELIA,C ELIA,ok,500.0,-32.6012869311469,-58.2939883534797,1,PQ,8,30,10,1.01986,-9.8742,False
4006,ROMANG,ROMANG,ok,500.0,-29.4598194433126,-59.7631398074561,1,PQ,8,28,10,1.02617,-8.3534,False
4008,SGDE.ARG,SALTO GRANDE ARG,ok,500.0,-31.2796643089607,-57.9635208304219,1,PQ,8,30,10,1.02614,-5.6117,False
4009,GRAN.PNA,GRAN PARANA,ok,500.0,-31.7142390149186,-60.4255694431752,1,PQ,8,30,10,1.01935,-8.7807,False
4010,S.TOME,SANTO TOME,ok,500.0,-31.6585650780159,-60.8624150416208,1,PQ,8,28,10,1.01762,-8.4676,False
4012,SGAC1500,,ok,500.0,-31.2888,-57.9324,1,PQ,8,30,10,1.02618,-5.5665,False
4013,SGAC2500,,ok,500.0,-31.2888,-57.9323,1,PQ,8,30,10,1.02618,-5.5665,False
4014,SGAC3500,,ok,500.0,-31.2888,-57.9322,1,PQ,8,30,10,1.02618,-5.5665,False
4015,SGAC4500,,ok,500.0,-31.2888,-57.9321,1,PQ,8,30,10,1.02614,-5.6118,False
4018,TERMINAL_500,,ok,500.0,-32.665144,-60.750729,1,PQ,8,29,10,1.02924,-4.647,False
4019,CN-TSE,,ok,500.0,-32.580452,-60.81942,1,PQ,8,29,10,1.02866,-4.8353,False
5000,YACYRETA,YACYRETA,ok,500.0,-27.4827573404788,-56.7392780143688,1,PQ,10,62,10,1.02,1.2795,False
5002,RINCON,RINCON STA. MARIA,ok,500.0,-27.4887181126508,-56.6976829874798,1,PQ,10,62,10,1.02004,1.2186,False
5004,RESISTEN,RESISTENCIA,ok,500.0,-27.2997269048727,-59.108568069161,1,PQ,10,61,10,1.01699,-6.3142,False
5005,P.PATRIA,PASO LA PATRIA,ok,500.0,-27.3836122730879,-58.6879250290168,1,PQ,10,62,10,1.02013,-5.807,False
5006,GRANFORMOSA,GRAN FORMOSA,ok,500.0,-26.0963094079528,-58.2484575731584,1,PQ,10,60,10,0.99531,-9.349,False
5012,R6L5RS,,ok,500.0,-27.301812,-59.104564,1,PQ,10,61,10,1.01699,-6.3142,False
5013,R9B5RS,,consultar,500.0,,,1,PQ,10,61,10,1.01699,-6.3142,False
5016,CHACO,CHACO,ok,500.0,-26.865431449202,-60.4393422923129,1,PQ,10,61,10,1.00789,-3.924,False
5030,MERCEDES,MERCEDES,ok,500.0,-29.3558808805981,-57.7017029442354,1,PQ,10,62,10,1.02216,-5.2719,False
5253,S.ISIDRO,SAN ISIDRO,ok,500.0,-27.4428686377774,-55.9181895192309,1,PQ,10,32,10,1.00105,-0.5921,False
6000,ALMAFUE.,ALMAFUERTE,ok,500.0,-32.2066325633421,-64.3172936337941,1,PQ,12,33,10,1.00936,6.2131,False
6002,A.CABRAL,ARROYO CABRAL,ok,500.0,-32.4968032794478,-63.4232485019168,1,PQ,12,33,10,1.01459,2.4641,False
6004,EMBALSE,EMBALSE,ok,500.0,-32.2337311061056,-64.4426019849936,1,PQ,12,33,10,1.01337,7.0779,False
6006,MALVINAS,MALVINAS,ok,500.0,-31.339918523621,-63.9129519775517,1,PQ,12,33,10,0.98086,4.382,False
6008,R.GRANDE,RIO GRANDE,ok,500.0,-32.2215703537888,-64.6364544160384,1,PQ,12,33,10,1.0147,8.1455,False
6010,LUJAN.SL,LUJAN,ok,500.0,-32.3689432710151,-66.0651644799568,1,PQ,12,34,10,1.02977,10.7878,False
7000,GRAN MZA,GRAN MENDOZA,ok,500.0,-33.0978701376966,-68.5819527023553,1,PQ,14,35,10,1.01706,16.219,False
7002,RDIAMANT,RIO DIAMANTE,ok,500.0,-34.5499519061555,-68.5937205912323,1,PQ,14,35,10,1.0163,18.9072,False
7003,RDIAM.AC,,ok,500.0,-34.932816,-68.268418,1,PQ,14,35,10,1.0163,18.9072,False
7005,RDIAM.GM,,ok,500.0,-34.545696,-68.59593,1,PQ,14,35,10,1.0163,18.9072,False
7010,NVA.SJUAN,NUEVA SAN JUAN,ok,500.0,-31.5652484898259,-68.6190063264808,1,PQ,14,63,10,0.99369,16.5562,False
8000,BRACHO,EL BRACHO,ok,500.0,-26.9949090061457,-65.1655235459748,1,PQ,15,68,10,1.02006,10.0162,False
8002,RECREO,RECREO,ok,500.0,-29.2603963902811,-65.0574469228372,1,PQ,15,64,10,1.00417,4.8114,False
8004,REC.MALV,,ok,500.0,-29.261445,-65.04893,1,PQ,15,64,10,0.96594,11.1092,False
8006,RIOJASUR,LA RIOJA SUR,ok,500.0,-29.397477189021,-66.5129361173079,1,PQ,15,36,10,0.98668,6.2165,False
8007,COBOS,COBOS,ok,500.0,-24.7457443027573,-65.0471806841412,1,PQ,15,66,10,1.01618,10.223,False
8008,JUANCITO,SAN JUANCITO,ok,500.0,-24.3767165060619,-64.9975373023046,1,PQ,15,67,10,1.00917,10.0217,False
8009,MQUEM-CB,,ok,500.0,-25.845714,-62.817702,1,PQ,15,65,10,1.01619,2.4257,False
8010,MQUEMADO,MONTE QUEMADO,ok,500.0,-25.8466539135473,-62.8165780633269,1,PQ,15,65,10,1.01619,2.4257,False
8011,MQUEM-CH,,ok,500.0,-25.845714,-62.817601999999994,1,PQ,15,65,10,1.01619,2.4257,True
8012,LAVALLE,LAVALLE,ok,500.0,-28.1577304395082,-65.1044619469612,1,PQ,15,65,10,1.00812,6.0021,False
8013,SANTIAGO,SANTIAGO,ok,500.0,-27.8383906535058,-64.346174574397,1,PQ,15,65,10,0.99452,4.4055,False
