gen_key,bus_name_origen,nombre_geosadi,bus_conexion500kv_name,nemo4,carrier,grupos_cammesa,n_grupos_cammesa,bus_name_origen_correcto,revisado,excluir,comentario
7648-1,ANCHFV01,F.V. ANCHORIS,GRAN MZA_132kV,ANCH,solar,ANCHDI01|ANCHDI02|ANCHDI03|ANCHDI04,4,,,si,Central solar sin equivalente en CAMMESA. Traia conflicto porque CAMMESA posee centrales con mismo NEMO4 pero que son generadores diesel.
4639-1,ASECTV,C.T. ARROYO SECO,R.OESTE_132kV_1,ASEC,steam,ASECTG01|ASECTG02,2,,,si,Central de 18 MW sin equivalente  CAMMESA
1624-1,BANDEO01,P.E. LA BANDERITA,PUELCHE1_132kV,BAND,wind,BANDDI01|BANDEO,2,BANDEO,si,,
2644-1,BBLMDI13,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI01,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
2644-2,BBLMDI13,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI02,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
2644-3,BBLMDI13,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI03,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
2651-4,BBLMDI46,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI04,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
2651-5,BBLMDI46,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI05,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
2651-6,BBLMDI46,MOTOR. B.BLANCA,B.BLANCA_132kV_1,BBLM,diesel,BBLMDI01|BBLMDI02|BBLMDI03|BBLMDI04|BBLMDI05|BBLMDI06,6,BBLMDI06,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
2627-3,BROWTV01,GUILLERMO BROWN,GUIBROWN_20kV_3,BROW,ocgt,BROWTG01|BROWTG02,2,,,si,Generador TV no aparece ni en CAMMESA ni en unifilares. Se excluye del modelo
8608-1,CAIMDI13,CAIMANCITO,JUANCITO_132kV,CAIM,diesel,CAIMDI01|CAIMDI02|CAIMDI03|CAIMDI04|CAIMDI05,5,CAIMDI01,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
8608-2,CAIMDI13,CAIMANCITO,JUANCITO_132kV,CAIM,diesel,CAIMDI01|CAIMDI02|CAIMDI03|CAIMDI04|CAIMDI05,5,CAIMDI02,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
8608-3,CAIMDI13,CAIMANCITO,JUANCITO_132kV,CAIM,diesel,CAIMDI01|CAIMDI02|CAIMDI03|CAIMDI04|CAIMDI05,5,CAIMDI03,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
8610-4,CAIMDI45,CAIMANCITO,JUANCITO_132kV,CAIM,diesel,CAIMDI01|CAIMDI02|CAIMDI03|CAIMDI04|CAIMDI05,5,CAIMDI04,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
8610-5,CAIMDI45,CAIMANCITO,JUANCITO_132kV,CAIM,diesel,CAIMDI01|CAIMDI02|CAIMDI03|CAIMDI04|CAIMDI05,5,CAIMDI05,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
6609-1,CALEFV01,P.S. C.A. LA CALERA S.L.,LUJAN.SL_132kV_1,CALE,solar,CALEFV|CALEHI,2,CALEFV,si,,
4614-1,CGOMDI12,CATADA DE GOMEZ,S.TOME_132kV_2,CGOM,diesel,CGOMDI01|CGOMDI02|CGOMDI03|CGOMDI04,4,CGOMDI01,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
4614-2,CGOMDI12,CATADA DE GOMEZ,S.TOME_132kV_2,CGOM,diesel,CGOMDI01|CGOMDI02|CGOMDI03|CGOMDI04,4,CGOMDI02,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
4616-3,CGOMDI34,CATADA DE GOMEZ,S.TOME_132kV_2,CGOM,diesel,CGOMDI01|CGOMDI02|CGOMDI03|CGOMDI04,4,CGOMDI03,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
4616-4,CGOMDI34,CATADA DE GOMEZ,S.TOME_132kV_2,CGOM,diesel,CGOMDI01|CGOMDI02|CGOMDI03|CGOMDI04,4,CGOMDI04,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
437-1,CRIVTG78,CDRO RIVADAVIA,SCN_500_132kV,CRIV,ccgt,CRIVTG21|CRIVTG22|CRIVTG23|CRIVTG26,4,,,si,ciclo combinado no reportado en CAMMESA (peque̱a central de 25 MW)
437-2,CRIVTG78,CDRO RIVADAVIA,SCN_500_132kV,CRIV,ccgt,CRIVTG21|CRIVTG22|CRIVTG23|CRIVTG26,4,,,si,ciclo combinado no reportado en CAMMESA (peque̱a central de 25 MW)
6605-1,DFUNTG12,DEAN FUNES,MALVINAS_132kV,DFUN,ocgt,DFUNTG01|DFUNTG02,2,DFUNTG01,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
6605-2,DFUNTG12,DEAN FUNES,MALVINAS_132kV,DFUN,ocgt,DFUNTG01|DFUNTG02,2,DFUNTG02,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
3621-1,DIQUTG13,DIQUE,ABASTO_220kV,DIQU,ocgt,DIQUTG01|DIQUTG02|DIQUTG03|DIQUTG04,4,DIQUTG01,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
3621-3,DIQUTG13,DIQUE,ABASTO_220kV,DIQU,ocgt,DIQUTG01|DIQUTG02|DIQUTG03|DIQUTG04,4,DIQUTG03,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
3622-2,DIQUTG24,DIQUE,ABASTO_220kV,DIQU,ocgt,DIQUTG01|DIQUTG02|DIQUTG03|DIQUTG04,4,DIQUTG02,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
3622-4,DIQUTG24,DIQUE,ABASTO_220kV,DIQU,ocgt,DIQUTG01|DIQUTG02|DIQUTG03|DIQUTG04,4,DIQUTG04,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
3625-5,DIQUTG56,DIQUE,ABASTO_220kV,DIQU,ocgt,DIQUTG01|DIQUTG02|DIQUTG03|DIQUTG04,4,,,si,"En unifilar CAMMESA hay 4 generadoras ya representadas esta no se encuentra ni en uniflar ni en excel, se excluye"
3625-6,DIQUTG56,DIQUE,ABASTO_220kV,DIQU,ocgt,DIQUTG01|DIQUTG02|DIQUTG03|DIQUTG04,4,,,si,"En unifilar CAMMESA hay 4 generadoras ya representadas esta no se encuentra ni en uniflar ni en excel, se excluye"
3627-7,DIQUTG07,DIQUE,ABASTO_220kV,DIQU,ocgt,DIQUTG01|DIQUTG02|DIQUTG03|DIQUTG04,4,,,si,"En unifilar CAMMESA hay 4 generadoras ya representadas esta no se encuentra ni en uniflar ni en excel, se excluye"
8249-1,INDEPCCG,INDEPENDENCIA,BRACHO_132kV_3,INDE,ccgt,INDETG01|INDETG02,2,,,si,"Generador no presente ni en CAMMESA ni en unifilar, se excluye. Mismo si bien pss/e lo representa esta apagado en snapshot"
8251-1,INDEPCCV,INDEPENDENCIA,BRACHO_132kV_3,INDE,ccgt,INDETG01|INDETG02,2,,,si,"Generador no presente ni en CAMMESA ni en unifilar, se excluye. Mismo si bien pss/e lo representa esta apagado en snapshot"
8661-G,INDEVG,INDEPENDENCIA,BRACHO_132kV_3,INDE,ocgt,INDETG01|INDETG02,2,,,si,"Generador no presente ni en CAMMESA ni en unifilar, se excluye. Mismo si bien pss/e lo representa esta apagado en snapshot"
8664-4,INDETV14,INDEPENDENCIA,BRACHO_132kV_3,INDE,steam,INDETG01|INDETG02,2,,,si,"Generador no presente ni en CAMMESA ni en unifilar, se excluye. Mismo si bien pss/e lo representa esta apagado en snapshot"
8665-5,INDETV15,INDEPENDENCIA,BRACHO_132kV_3,INDE,steam,INDETG01|INDETG02,2,,,si,"Generador no presente ni en CAMMESA ni en unifilar, se excluye. Mismo si bien pss/e lo representa esta apagado en snapshot"
6651-1,LEVAFV01,LEVALLE,HENDERS2_132kV,LEVA,solar,LEVATG01|LEVATG02,2,,,si,Central solar sin equivalente en CAMMESA. Traia conflicto porque CAMMESA posee centrales con mismo NEMO4 pero que son generadores termicos.
8629-1,LRIOFV01,P.S. 360 ENERGY LA RIOJA,RIOJASUR_132kV,LRIO,solar,LRIOFV|LRIOTG21|LRIOTG22|LRIOTG23|LRIOTG24,5,LRIOFV,si,,
8660-1,LRIOTG13,LA RIOJA,RIOJASUR_132kV,LRIO,ocgt,LRIOFV|LRIOTG21|LRIOTG22|LRIOTG23|LRIOTG24,5,LRIOTG21,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
8660-2,LRIOTG13,LA RIOJA,RIOJASUR_132kV,LRIO,ocgt,LRIOFV|LRIOTG21|LRIOTG22|LRIOTG23|LRIOTG24,5,LRIOTG22,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
8660-3,LRIOTG13,LA RIOJA,RIOJASUR_132kV,LRIO,ocgt,LRIOFV|LRIOTG21|LRIOTG22|LRIOTG23|LRIOTG24,5,LRIOTG23,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
2685-1,MAT3EO01,P.E. MATACO III,B.BLANCA_132kV_2,MAT3,wind,MAT3EO|MAT3TG01|MAT3TG02|MAT3TG03|MAT3TG04,5,MAT3EO,si,,
2640-5,MDAJTG57,MAR DE AJO,VIVORATA_132kV,MDAJ,ocgt,MDAJTG15|MDAJTG17,2,MDAJTG15,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
2640-7,MDAJTG57,MAR DE AJO,VIVORATA_132kV,MDAJ,ocgt,MDAJTG15|MDAJTG17,2,MDAJTG17,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
6631-1,MMARTG01,MARANZANA,A.CABRAL_132kV,MMAR,ccgt,MMARTG03|MMARTG04|MMARTG05|MMARTG06|MMARTG07|MMARTG08,6,,,si,"Central sin equivalente en CAMMESA, se excluye"
6632-2,MMARTG02,MARANZANA,A.CABRAL_132kV,MMAR,ccgt,MMARTG03|MMARTG04|MMARTG05|MMARTG06|MMARTG07|MMARTG08,6,,,si,"Central sin equivalente en CAMMESA, se excluye"
6650-9,MMARTV09,MARANZANA,ALMAFUE._132kV_1,MMAR,steam,MMARTG03|MMARTG04|MMARTG05|MMARTG06|MMARTG07|MMARTG08,6,,,si,"Central sin equivalente en CAMMESA, se excluye"
4608-1,OCAMDI12,VILLA OCAMPO,ROMANG_132kV,OCAM,diesel,OCAMDI01|OCAMDI02|OCAMDI03|OCAMDI04|OCAMDI05,5,OCAMDI01,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
4608-2,OCAMDI12,VILLA OCAMPO,ROMANG_132kV,OCAM,diesel,OCAMDI01|OCAMDI02|OCAMDI03|OCAMDI04|OCAMDI05,5,OCAMDI02,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
4612-3,OCAMDI35,VILLA OCAMPO,ROMANG_132kV,OCAM,diesel,OCAMDI01|OCAMDI02|OCAMDI03|OCAMDI04|OCAMDI05,5,OCAMDI03,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
4612-4,OCAMDI35,VILLA OCAMPO,ROMANG_132kV,OCAM,diesel,OCAMDI01|OCAMDI02|OCAMDI03|OCAMDI04|OCAMDI05,5,OCAMDI04,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
4612-5,OCAMDI35,VILLA OCAMPO,ROMANG_132kV,OCAM,diesel,OCAMDI01|OCAMDI02|OCAMDI03|OCAMDI04|OCAMDI05,5,OCAMDI05,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
4617-1,PERZDI14,PEREZ SECCO,HENDERS2_132kV,PERZ,diesel,PERZDI01|PERZDI02|PERZDI03|PERZDI04|PERZDI05|PERZDI06|PERZDI07|PERZDI08,8,PERZDI01,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
4617-2,PERZDI14,PEREZ SECCO,HENDERS2_132kV,PERZ,diesel,PERZDI01|PERZDI02|PERZDI03|PERZDI04|PERZDI05|PERZDI06|PERZDI07|PERZDI08,8,PERZDI02,si,,"Nombres psse abreviado, lo abro para match CAMMESA"
