gen_key,bus_name_origen,geosadi_name,carrier,bus,p_nom_mw,total_energy_mwh,average_power_mw,peak_power_mw,capacity_factor_pct
7662-2,NIH1HI02,NIHUIL 1,hydro,GRAN MZA_220kV,18.0,3013.55,17.94,18.0,99.65
7664-4,NIH1HI04,NIHUIL 1,hydro,GRAN MZA_220kV,18.0,3013.55,17.94,18.0,99.65
7663-3,NIH1HI03,NIHUIL 1,hydro,GRAN MZA_220kV,18.0,3013.55,17.94,18.0,99.65
7661-1,NIH1HI01,NIHUIL 1,hydro,GRAN MZA_220kV,18.0,3013.55,17.94,18.0,99.65
252-2,AMEGHI02,F. AMEGHINO,hydro,NPMADRYN_330kV,17.9,3007.2,17.9,17.9,100.0
251-1,AMEGHI01,F. AMEGHINO,hydro,NPMADRYN_330kV,17.9,3007.2,17.9,17.9,100.0
2647-2,ZARATG02,C.T ZARATE,ocgt,RODRGUEZ_220kV_1,49.3,2816.44,16.76,47.0,34.01
2646-1,ZARATG01,C.T ZARATE,ocgt,RODRGUEZ_220kV_1,51.3,2799.7,16.66,47.3,32.49
1694-1,PHUITG01,PLAZA HUINCUL,ocgt,CHOCON_132kV,31.673,2753.83,16.39,27.17,51.75
6638-1,SERTTG01,RSO TERC SOENER,ocgt,ALMAFUE._132kV_2,60.0,2679.87,15.95,60.0,26.59
664-1,KOSTEO01,P.E. Kosten,wind,SCN_500_132kV,24.0,2649.06,15.77,23.62,65.7
7672-2,NIH2HI02,NIHUIL 2,hydro,GRAN MZA_220kV,18.3333,2555.37,15.21,15.32,82.97
7675-5,NIH2HI05,NIHUIL 2,hydro,GRAN MZA_220kV,18.3333,2555.37,15.21,15.32,82.97
7674-4,NIH2HI04,NIHUIL 2,hydro,GRAN MZA_220kV,18.3333,2555.37,15.21,15.32,82.97
7673-3,NIH2HI03,NIHUIL 2,hydro,GRAN MZA_220kV,18.3333,2555.37,15.21,15.32,82.97
7671-1,NIH2HI01,NIHUIL 2,hydro,GRAN MZA_220kV,18.3333,2555.37,15.21,15.32,82.97
7676-6,NIH2HI06,NIHUIL 2,hydro,GRAN MZA_220kV,18.3333,2555.37,15.21,15.32,82.97
650-1,GARAEO01,P.E. GARAYALDE,wind,SCN_500_132kV,25.0,2550.31,15.18,23.68,60.72
651-1,CHNOEO01,PE Chubut Norte,wind,NPMADRYN_330kV,29.0,2537.37,15.1,28.33,52.08
8603-2,PPNOTG02,PLUSPETROL NORT,ocgt,BRACHO_34.5kV_3,115.557,2533.82,15.08,109.1,13.05
8653-3,GUEMTV13,GUEMES,steam,JUANCITO_132kV,126.495,2513.82,14.96,114.86,11.83
8602-1,PPNOTG01,PLUSPETROL NORT,ocgt,BRACHO_34.5kV_3,112.8,2296.28,13.67,110.5,12.12
492-2,PATATG02,C.T. PATAGONIA,ccgt,SCN_500_132kV,37.6,2292.6,13.65,33.33,36.29
7622-2,ULLUHI02,ULLUM,hydro,NVA.SJUAN_132kV,24.0,2246.95,13.37,21.66,55.73
7621-1,ULLUHI01,ULLUM,hydro,NVA.SJUAN_132kV,24.0,2246.95,13.37,21.66,55.73
1695-1,ALOMDI01,AG. LOMITAS,diesel,P.BAND._132kV,13.6403,2245.05,13.36,13.64,97.97
7679-3,CONDHI03,C.H. A.CONDARCO,hydro,GRAN MZA_132kV,14.6539,2220.76,13.22,13.39,90.21
7678-2,CONDHI02,C.H. A.CONDARCO,hydro,GRAN MZA_132kV,14.6539,2220.76,13.22,13.39,90.21
676-3,RAW3EO01,RAWSON 3 EOLICO,wind,NPMADRYN_330kV,31.0,2146.4,12.78,24.45,41.21
7680-1,QULLHI01,QUEBRADA ULLUM,hydro,NVA.SJUAN_132kV,48.0,2013.21,11.98,12.35,24.97
3677-7,PNUETV07,PUERTO NUEVO,steam,ABASTO_220kV,114.7145,1974.16,11.75,113.2,10.24
6635-5,MMARTG05,MARANZANA,ocgt,ALMAFUE._132kV_1,50.5,1963.6,11.69,41.17,23.14
2902-2,VSECEO01,P.E. Vientos del Secano,wind,B.BLANCA_132kV_1,25.0,1953.43,11.63,23.52,46.51
