cluster_id,centroid_lat,centroid_lon,n_buses,p_nom_hydro_mw,p_nom_nuclear_mw,p_nom_termica_mw,p_nom_wind_mw,p_nom_solar_mw,p_nom_bioenergia_mw,p_nom_total_mw
0,-37.1514,-63.5647,4,0.0,0.0,24.0,0.0,56.0,0.0,80.0
1,-29.3559,-57.7017,3,0.0,0.0,13.0,0.0,0.0,0.0,13.0
10,-42.7045,-65.1051,6,573.0,0.0,0.0,771.2,0.0,0.0,1344.2
11,-32.9684,-60.78,10,0.0,0.0,190.1,0.0,0.0,0.0,190.1
12,-27.85,-55.35,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-36.8392,-60.344,6,0.0,0.0,316.6,520.6,0.0,0.0,837.3
14,-46.7743,-67.9792,5,0.0,0.0,186.9,538.8,0.0,0.0,725.7
15,-38.6576,-62.0526,6,0.0,0.0,156.6,1091.7,0.0,0.0,1248.3
16,-31.2861,-57.9414,17,450.5,0.0,10.8,0.0,0.0,0.0,461.3
17,-27.4835,-56.7341,24,2650.5,0.0,0.0,0.0,0.0,40.0,2690.5
18,-40.5797,-70.7487,8,1050.0,0.0,20.0,0.0,0.0,0.0,1070.0
19,-38.1501,-65.823,3,15.8,0.0,0.0,40.0,0.0,0.0,55.8
2,-29.2604,-65.0574,4,0.0,0.0,86.3,0.0,0.0,0.0,86.3
20,-26.9949,-65.1655,11,32.0,0.0,1676.5,0.0,67.4,5.2,1781.1
21,-34.9188,-58.6258,22,0.0,0.0,4944.1,0.0,0.0,4.2,4948.4
22,-29.4598,-59.7631,4,0.0,0.0,48.2,0.0,0.0,6.3,54.5
23,-25.8463,-62.817,3,0.0,0.0,60.8,0.0,0.0,0.0,60.8
24,-37.6943,-57.7317,4,0.0,0.0,502.8,50.0,0.0,0.0,552.8
25,-49.9862,-68.9734,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-32.3689,-66.0652,6,0.0,0.0,0.0,201.3,65.9,0.0,267.2
27,-31.6586,-60.8624,6,0.0,0.0,382.7,0.0,0.0,0.0,382.7
28,-29.3975,-66.5129,4,0.0,0.0,104.8,250.9,171.8,0.0,527.5
29,-38.5324,-68.5496,12,536.4,0.0,1238.3,0.0,0.0,0.0,1774.7
3,-51.0427,-70.7143,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-36.346,-61.6706,7,0.0,0.0,161.2,0.0,0.0,0.0,161.2
31,-26.0963,-58.2485,5,0.0,0.0,70.4,0.0,0.0,0.0,70.4
32,-39.5683,-65.6919,4,0.0,0.0,0.0,104.0,0.0,0.0,104.0
33,-35.4814,-60.0695,4,0.0,0.0,60.0,0.0,0.0,0.0,60.0
34,-40.1159,-69.994,10,1725.0,0.0,0.0,0.0,0.0,0.0,1725.0
35,-31.3399,-63.913,5,24.0,0.0,389.9,0.0,0.0,0.0,413.9
36,-34.55,-68.5937,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-31.5652,-68.619,3,291.2,0.0,29.9,0.0,741.1,0.0,1062.2
38,-32.6013,-58.294,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-26.8654,-60.4393,3,0.0,0.0,83.8,0.0,132.0,0.0,215.8
4,-33.9711,-59.2048,2,0.0,645.6,0.0,0.0,0.0,0.0,645.6
40,-33.3888,-60.1759,10,0.0,0.0,1757.2,0.0,0.0,0.0,1757.2
41,-32.4968,-63.4232,3,0.0,0.0,336.4,0.0,0.0,0.0,336.4
42,-27.9182,-64.5357,4,17.1,0.0,0.0,0.0,0.0,0.0,17.1
43,-32.5928,-60.7886,12,0.0,0.0,2144.2,0.0,0.0,0.0,2144.2
44,-34.53,-58.9319,9,0.0,334.9,2155.2,0.0,0.0,22.5,2512.5
45,-27.4429,-55.9182,5,0.0,0.0,15.0,0.0,0.0,2.0,17.0
46,-31.7142,-60.4256,4,0.0,0.0,15.4,0.0,0.0,0.0,15.4
47,-38.9024,-68.3395,6,0.0,0.0,582.6,0.0,0.0,0.0,582.6
48,-34.1788,-59.0008,9,0.0,0.0,791.8,0.0,0.0,0.0,791.8
49,-38.7356,-62.3338,8,0.0,0.0,1168.9,0.0,0.0,0.0,1168.9
5,-39.2574,-68.7591,14,1417.8,0.0,76.9,100.0,0.0,0.0,1594.7
6,-33.0979,-68.582,6,844.8,0.0,523.0,0.0,24.2,0.0,1392.0
7,-32.2165,-64.4593,13,494.3,612.6,573.3,62.0,30.6,0.0,1772.9
8,-24.5876,-65.0259,7,158.4,0.0,1084.4,0.0,685.0,0.0,1927.8
9,-27.3335,-58.9399,10,0.0,0.0,45.3,0.0,0.0,29.4,74.7
