cluster_id,centroid_lat,centroid_lon,n_buses,p_nom_hydro_mw,p_nom_nuclear_mw,p_nom_thermal_mw,p_nom_wind_mw,p_nom_solar_mw,p_nom_bioenergy_mw,p_nom_total_mw,peak_demand_mw
cluster_0,-27.4714,-56.4517,3,2650.5,0.0,15.0,0.0,0.0,42.0,2707.5,1016.0
cluster_1,-36.8392,-60.344,1,0.0,0.0,316.6,520.6,0.0,0.0,837.3,624.0
cluster_10,-38.7095,-62.2404,3,0.0,0.0,1028.8,953.7,0.0,0.0,1982.5,940.0
cluster_11,-38.9275,-68.5678,7,1954.2,0.0,1897.8,100.0,0.0,0.0,3952.0,271.0
cluster_12,-46.7743,-67.9792,1,0.0,0.0,186.9,538.8,0.0,0.0,725.7,90.0
cluster_13,-27.6637,-64.8721,3,49.1,0.0,1676.5,0.0,67.4,5.2,1798.2,1163.0
cluster_14,-26.8654,-60.4393,1,0.0,0.0,83.8,0.0,132.0,0.0,215.8,272.0
cluster_15,-31.506,-57.9978,6,450.5,0.0,10.8,0.0,0.0,0.0,461.3,702.0
cluster_16,-31.5652,-68.619,1,291.2,0.0,29.9,0.0,741.1,0.0,1062.2,616.0
cluster_17,-33.3834,-60.1749,2,0.0,0.0,1757.2,0.0,0.0,0.0,1757.2,1188.0
cluster_18,-38.8592,-65.7575,2,15.8,0.0,0.0,144.0,0.0,0.0,159.8,434.0
cluster_19,-34.11,-59.069,3,0.0,645.6,791.8,0.0,0.0,0.0,1437.4,1071.0
cluster_2,-32.2897,-64.2049,4,494.3,612.6,909.7,62.0,30.6,0.0,2109.2,1677.0
cluster_20,-37.6937,-57.7319,1,0.0,0.0,502.8,50.0,0.0,0.0,552.8,0.0
cluster_21,-27.3284,-58.967,3,0.0,0.0,45.3,0.0,0.0,29.4,74.7,684.0
cluster_22,-29.4079,-58.7324,2,0.0,0.0,61.2,0.0,0.0,6.3,67.5,248.0
cluster_23,-50.5145,-69.8438,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
cluster_24,-37.1514,-63.5647,1,0.0,0.0,24.0,0.0,56.0,0.0,80.0,214.0
cluster_25,-32.3689,-66.0652,1,0.0,0.0,0.0,201.3,65.9,0.0,267.2,368.0
cluster_26,-36.346,-61.6707,1,0.0,0.0,161.2,0.0,0.0,0.0,161.2,694.0
cluster_27,-31.6864,-60.644,2,0.0,0.0,398.1,0.0,0.0,0.0,398.1,736.0
cluster_28,-31.3399,-63.913,1,24.0,0.0,389.9,0.0,0.0,0.0,413.9,696.0
cluster_29,-26.0963,-58.2485,1,0.0,0.0,70.4,0.0,0.0,0.0,70.4,356.0
cluster_3,-40.2361,-70.1923,4,2775.0,0.0,20.0,0.0,0.0,0.0,2795.0,113.0
cluster_4,-29.3289,-65.7852,2,0.0,0.0,191.0,250.9,171.8,0.0,613.8,616.0
cluster_5,-34.9389,-58.8517,8,0.0,334.9,7159.3,0.0,0.0,26.7,7520.9,8071.0
cluster_6,-42.7045,-65.1051,1,573.0,0.0,0.0,771.2,0.0,0.0,1344.2,1012.0
cluster_7,-24.9897,-64.2871,3,158.4,0.0,1145.2,0.0,685.0,0.0,1988.6,648.0
cluster_8,-33.8239,-68.5878,2,844.8,0.0,523.0,0.0,24.2,0.0,1392.0,1168.0
cluster_9,-32.698,-60.7859,4,0.0,0.0,2334.3,0.0,0.0,0.0,2334.3,2060.0
